modified_names,gbm39_cloneB_Score,gbm39_cloneB_pval,gbm45_cloneA_Score,gbm45_cloneA_pval,av
HAND1,0.9594498064459269,1.0,1.0967103081312959,4.306537148893333e-07,1.0280800572886113
ZNF,0.9442146837126083,1.1636728739929363e-87,1.1042890810312171,4.0638295752157567e-246,1.0242518823719127
SMAD,0.9533177876985073,2.445871043353061e-06,1.0648700192693403,3.3957260459160634e-12,1.0090939034839237
IRF,0.8586066913928198,1.7139855786391888e-90,1.0959794802159772,3.081869706475911e-29,0.9772930858043984
NFAC,0.9357298295993449,0.007666503463427166,1.006659709249111,1.0,0.971194769424228
GCM,0.9317376261153674,0.03460514656621993,1.0050200402718268,1.0,0.9683788331935971
GATA,1.0557046942657493,1.0,0.8681918680761362,1.624162173967319e-05,0.9619482811709428
NFI,0.8707230256853818,8.54319874711479e-114,1.0137590070873181,1.0,0.9422410163863499
MIES,0.8704092428221301,2.0820454682693268e-13,0.9817983166081031,1.0,0.9261037797151166
FEZF1,0.8149231884460171,3.093336043755531e-13,1.0123563779284772,1.0,0.9136397831872471
SOX,0.8588754876578761,8.797216059825223e-67,0.9538442193019866,4.473225270070884e-06,0.9063598534799313
LEF1,0.8687420182658548,7.678059730051011e-19,0.924727136795802,4.163177956941796e-05,0.8967345775308284
Ebox/CATATG,0.9262853723243728,0.22713383790696204,0.8600055202246097,4.6671812913492055e-08,0.8931454462744912
TCF/LEF,0.89754209429796,0.0006016189608988514,0.8855373946279457,5.965884288289001e-05,0.8915397444629528
OCT4+SOX2,0.8290303601459954,7.2853430865654e-15,0.9500996576052385,1.0,0.889565008875617
SPZ1,0.8654107083220299,0.006205597926066195,0.9069643278274472,0.6900088578328075,0.8861875180747385
TATA,0.8180540920266948,0.0005840210849544571,0.9221774414482111,1.0,0.870115766737453
MYB,0.8214234065292555,3.091999536639765e-30,0.8800938085580443,5.208447018881805e-13,0.85075860754365
HEN1,0.8810600526603062,7.08956451319052e-17,0.7784595285270873,1.3277285741594357e-50,0.8297597905936968
Ebox/CAGATGG,0.8163043908930784,8.310585150722176e-125,0.7920649302117362,4.329069934288972e-153,0.8041846605524072
OSR2,0.8117070465686275,1.6899874427871983e-40,0.7839843669430521,4.617187870514287e-49,0.7978457067558398
Ebox/CACCTG,0.7958798344755019,6.075182754553702e-129,0.7053473271659076,7.24416856750656e-256,0.7506135808207048
Ebox/CAGCTG,0.7513370287720363,1.6049944083616078e-292,0.6870547940316443,0.0,0.7191959114018402
